Project: 8052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description: VIP Liner Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase: LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Budg Rate,Budg Hours,Budg Dollars,Revenue,Act Hours,Act Dollars,Act Rate,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,Forward,EAC Hours,EAC Dollars,Budg Hrs Var,Budg $ Var,LINE
,LAYUP ,0,193,13618,18395,459,6815,14.85,,,,,,,,,,,,,,,,,,,,,,0,6815,193,6803,LAYUP 
,PROD  ,0,821,60173,78164,880,16024,18.21,125,250,500,500,500,500,500,500,364.2,728.4,1092.6,1456.8,1638.9,1821,3642,5463,7284,9105,12747,3642,,2825,68383.9,-2004,-8210.9,PROD  
,QUAL  ,0,132,9392,12536,106,2036,19.21,,,,,,,,,,,,,,,,,,,,,,0,2036,132,7356,QUAL  
,RAW   ,0,0,90840,106504,0,72630,,,,,,,,,,,,,,,,,,,,,,,0,72630,0,18210,RAW   
,REVE  ,0,0,9547,9625,0,0,,25,,14,,,,,,,,,,,,,,,,,,150,37,189,-37,9358,REVE  
,STORES,0,20,1399,1824,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,20,1399,STORES
,TOOL  ,0,1105,83085,95465,1536,28723,18.7,,,,,,,,,,,,,,,,,,,,,,0,28723,1105,54362,TOOL  
,TOOLM ,0,0,45870,48063,0,42739,,,,,,,,,,,,,,,,,,,,,,,0,42739,0,3131,TOOLM 
,,,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------
,,Phase LINE Total,2271,313924,370576,2981,168967,17.98,150,250,514,500,500,500,500,500,364.2,728.4,1092.6,1456.8,1638.9,1821,3642,5463,7284,9105,12747,3642,150,2862,221515.9,-591,92408.1,Total Phase LINE
,,Phase LINE Margin,Budg Gr. Marg.,Budg Gr. Marg. %,Act Gr. Marg.,Act Gr. Marg.%,,,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,,,,,
,,,56652,15.29,201609,54.4,,,76.35,76.46,76.69,76.92,77.14,77.37,77.59,77.82,77.98,78.31,78.81,79.46,80.2,81.02,82.67,85.14,88.42,92.53,98.29,99.93,100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Project Summary,,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========,=========
,,Project 8052 Total,2271,313924,370576,2981,168967,17.98,150,250,514,500,500,500,500,500,364.2,728.4,1092.6,1456.8,1638.9,1821,3642,5463,7284,9105,12747,3642,150,2862,221515.9,-591,92408.1,Total Project 8052
,,Project 8052 Margin,Budg Gr. Marg.,Budg Gr. Marg. %,Act Gr. Marg.,Act Gr. Marg.%,,,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,,,,,
,,,56652,15.29,201609,54.4,,,76.35,76.46,76.69,76.92,77.14,77.37,77.59,77.82,77.98,78.31,78.81,79.46,80.2,81.02,82.67,85.14,88.42,92.53,98.29,99.93,100,,,,,
xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx
xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx,xxxxxxxxx
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project: 7398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description: YD 421 BBJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase: DECO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Budg Rate,Budg Hours,Budg Dollars,Revenue,Act Hours,Act Dollars,Act Rate,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,Forward,EAC Hours,EAC Dollars,Budg Hrs Var,Budg $ Var,DECO
,ENG   ,0,253,24336,33792,201,6796,33.81,28,21,,,,,,,,,,,,,,,,,,,,8,6845,245,17491,ENG   
